p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
6.43E-17,0.945250792,0.786,0.514,2.32E-12,1,ISOC1
6.89E-17,0.451167626,0.992,0.942,2.49E-12,1,RHOA
7.13E-17,0.77949937,0.683,0.391,2.58E-12,1,IFI6
7.82E-17,0.58795525,0.966,0.668,2.83E-12,1,CD99
8.07E-17,1.023529337,0.847,0.574,2.92E-12,1,CTHRC1
8.23E-17,0.590568713,0.924,0.6,2.97E-12,1,SHFM1
1.01E-16,0.760097254,0.863,0.57,3.64E-12,1,DKK3
1.03E-16,0.59100923,0.969,0.759,3.73E-12,1,SEC11A
1.07E-16,0.856065359,0.756,0.485,3.87E-12,1,SERPINB6
1.10E-16,0.699929113,0.874,0.62,3.96E-12,1,SEC23A
1.10E-16,0.579730235,0.954,0.591,3.98E-12,1,PHLDA2
1.10E-16,0.888233667,0.641,0.36,3.98E-12,1,TWF2
1.14E-16,0.984160121,0.603,0.313,4.12E-12,1,ITGA5
1.37E-16,1.035449577,0.595,0.314,4.96E-12,1,ST3GAL1
1.41E-16,1.120949356,0.511,0.238,5.08E-12,1,C7orf55
1.41E-16,0.507946737,0.981,0.819,5.09E-12,1,NPC2
1.43E-16,0.485637743,0.958,0.853,5.17E-12,1,EDF1
1.58E-16,0.689444984,0.851,0.634,5.72E-12,1,C19orf70
1.63E-16,0.759942987,0.832,0.605,5.87E-12,1,LMAN1
1.85E-16,0.669228222,0.916,0.605,6.68E-12,1,G6PD
1.90E-16,0.547571148,0.943,0.854,6.85E-12,1,PSMA1
2.29E-16,0.513281757,1,0.889,8.28E-12,1,CALU
2.33E-16,1.487151943,0.489,0.251,8.41E-12,1,F2RL2
2.42E-16,0.554611871,0.95,0.828,8.75E-12,1,TMED10
2.49E-16,0.645646105,0.943,0.706,8.99E-12,1,CD164
2.55E-16,1.302323051,0.561,0.29,9.21E-12,1,PPAP2A
2.73E-16,0.606159985,0.924,0.753,9.85E-12,1,SDHC
3.08E-16,0.764763647,0.87,0.603,1.11E-11,1,CDC42EP3
3.09E-16,1.331602928,0.458,0.211,1.12E-11,1,ASS1
3.37E-16,0.542245997,0.931,0.856,1.22E-11,1,CAPZB
3.58E-16,0.740805191,0.702,0.434,1.29E-11,1,NUCB2
3.84E-16,0.876819759,0.79,0.543,1.39E-11,1,GLIPR2
4.80E-16,0.473112461,0.969,0.855,1.73E-11,1,TRMT112
5.65E-16,0.855156396,0.615,0.34,2.04E-11,1,HLA-E
6.13E-16,0.529759287,0.996,0.772,2.21E-11,1,C12orf75
6.33E-16,0.585779032,0.912,0.767,2.29E-11,1,EIF3K
6.54E-16,0.830073115,0.687,0.394,2.36E-11,1,TMEM261
6.61E-16,0.452432695,0.996,0.885,2.39E-11,1,CNN3
6.79E-16,0.81113201,0.851,0.605,2.45E-11,1,ATP2B1
6.82E-16,0.622280448,0.824,0.505,2.46E-11,1,GAS6
7.51E-16,0.753641927,0.752,0.473,2.71E-11,1,MSRB2
7.69E-16,0.671392279,0.863,0.679,2.78E-11,1,GLRX
8.02E-16,0.950865424,0.592,0.311,2.90E-11,1,FAM92A1
8.43E-16,1.85789016,0.26,0.078,3.04E-11,1,WISP1
8.58E-16,0.73083247,0.802,0.484,3.10E-11,1,PAWR
8.75E-16,0.655182947,0.882,0.662,3.16E-11,1,CNIH1
9.45E-16,1.078359457,0.55,0.286,3.42E-11,1,CRABP2
9.55E-16,0.847368179,0.748,0.477,3.45E-11,1,FKBP10
1.12E-15,0.506339934,0.992,0.88,4.03E-11,1,ARPC5
1.15E-15,0.517808562,0.973,0.82,4.14E-11,1,C4orf3
1.17E-15,0.559474356,0.947,0.837,4.24E-11,1,ITM2C
1.51E-15,0.679097551,0.805,0.496,5.45E-11,1,CEBPB
1.53E-15,1.209352998,0.55,0.291,5.55E-11,1,SPRY1
1.63E-15,0.575041131,0.966,0.796,5.87E-11,1,RAP1B
1.67E-15,0.630219254,0.79,0.514,6.03E-11,1,MYO1B
1.74E-15,1.10337639,0.538,0.279,6.28E-11,1,PPAPDC1B
